Fan
Can
Pan
Man
Van
Pet
Wet
Jet
Net
Set
Pin
Win
Tin
Fin
Bin
Pot
Dot
Got
Lot
Hot
Cut
Nut
Hut
But
Gut
Rain
Pain
Main
Gain
Train
Feet
Meet
Sheet
Sweet
Fleet
Ride
Hide
Side
Wide
Tide
Soap
Rope
Hope
Cope
Slope
Tune
June
Dune
Prune
Rune
